0.2,	0
0.4,	0
0.6,	0.0024
0.7,	0.017
0.8,	0.062
0.9,	0.190
1,		0.274
1.2,	1.75
1.4,	2.7
1.6,	3.6
1.8,	4.6
2,		5.54
2.1,	6
