1,	0.02
1.5,	0.1
2,	0.25
2.5,	0.38
3,	0.59
3.5,	0.8
4,	1
4.5,	1.23
5,	1.45
6,	1.82
7,	2.08
8,	2.22
9,	2.34
10,	2.41

